Agency,Annual_Contract_Revenue,State,Country,Congressional_District,Contracting_Agency,Contract_Date,Vendor
AGRICULTURAL RESEARCH SERVICE,800000000,CALIFORNIA,USA,11,AGRICULTURAL RESEARCH SERVICE,2011,"HITACHI HIGH TECHNOLOGIES AMERICA, INC"
AGRICULTURAL RESEARCH SERVICE,90000000,NORTH CAROLINA,USA,11,AGRICULTURAL RESEARCH SERVICE,2011,THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC
BUREAU OF RECLAMATION,300000010,MONTANA,USA,0,BUREAU OF RECLAMATION,2011,"HELENA SAND&GRAVEL, INC."
BUREAU OF THE CENSUS,1040000000,VIRGINIA,USA,10,BUREAU OF THE CENSUS,2011,HEWLETT-PACKARD COMPANY
BUREAU OF THE FISCAL SERVICE,1800000000,NEW JERSEY,USA,7,BUREAU OF THE FISCAL SERVICE,2012,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
DEPARTMENTAL OFFICES,72960000,MINNESOTA,USA,2,DEPARTMENTAL OFFICES,2012,WEST PUBLISHING CORPORATION
DOD,1800000000,MASSACHUSETTS,USA,6,DEPT OF THE NAVY,2011,GENERAL ELECTRIC COMPANY
DOD,1800000000,NEW JERSEY,USA,7,DEPT OF THE AIR FORCE,2011,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
DOD,1800000000,NEW YORK,USA,2,DEPT OF THE NAVY,2011,GE AVIATION SYSTEMS LLC
DOD,1800000000,NEW YORK,USA,25,DEPT OF THE NAVY,2012,"G E INSPECTION TECHNOLOGIES, LP"
DOD,1800000000,PENNSYLVANIA,USA,4,DEPT OF THE NAVY,2011,CONVERTEAM INC.
DOD,1800000000,PENNSYLVANIA,USA,4,DEPT OF THE NAVY,2012,CONVERTEAM INC.
DOD,1800000000,WISCONSIN,USA,5,DEFENSE LOGISTICS AGENCY,2011,"GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC."
DOD,1500000000,MICHIGAN,USA,3,DEPT OF THE NAVY,2012,GE AVIATION SYSTEMS LLC
DOD,1130000000,MARYLAND,USA,8,DEPT OF THE ARMY,2011,HEWLETT-PACKARD COMPANY
DOD,1130000000,MARYLAND,USA,8,DEPT OF THE NAVY,2011,HEWLETT-PACKARD COMPANY
DOD,1100000000,TEXAS,USA,12,DEFENSE LOGISTICS AGENCY,2011,"TTI, INC."
DOD,994999992,NEW JERSEY,USA,11,DEPT OF THE ARMY,2011,CELLCO PARTNERSHIP
DOD,994999992,NEW JERSEY,USA,11,DEPT OF THE NAVY,2011,CELLCO PARTNERSHIP
DOD,994999992,NEW JERSEY,USA,11,DEPT OF THE NAVY,2011,CELLCO PARTNERSHIP
DOD,985560023,VIRGINIA,USA,10,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),2011,INTERNATIONAL BUSINESS MACHINES CORPORATION
DOD,934999982,MASSACHUSETTS,USA,9,DEPT OF THE NAVY,2012,"GENERAL DYNAMICS C4 SYSTEMS, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2011,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2011,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2011,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2011,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2011,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2011,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2012,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2012,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2012,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2012,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2012,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2012,"CARDINAL HEALTH, INC."
DOD,909999964,OHIO,USA,12,DEFENSE LOGISTICS AGENCY,2012,"CARDINAL HEALTH, INC."
DOD,899999990,CALIFORNIA,USA,13,DEPT OF THE NAVY,2012,MICROGENICS CORP
DOD,860000010,CALIFORNIA,USA,50,DEPT OF THE NAVY,2011,"CARDINAL HEALTH SOLUTIONS, INC."
DOD,840033000,NEW YORK,USA,17,DEFENSE LOGISTICS AGENCY,2011,DHS SYSTEMS LLC
DOD,777000000,CALIFORNIA,USA,15,DEPT OF THE NAVY,2012,ABBOTT LABORATORIES
DOD,700000010,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,2011,AMERISOURCEBERGEN DRUG CORPORATION
DOD,700000010,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,2011,AMERISOURCEBERGEN DRUG CORPORATION
DOD,700000010,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,2011,AMERISOURCEBERGEN DRUG CORPORATION
DOD,700000010,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,700000010,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,700000010,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,700000010,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,700000010,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,700000010,PENNSYLVANIA,USA,6,DEFENSE LOGISTICS AGENCY,2012,AMERISOURCEBERGEN DRUG CORPORATION
DOD,628999987,MISSOURI,USA,1,DEFENSE LOGISTICS AGENCY,2011,MCDONNELL DOUGLAS CORPORATION
DOD,628999987,MISSOURI,USA,1,DEFENSE LOGISTICS AGENCY,2011,MCDONNELL DOUGLAS CORPORATION
DOD,624103330,MASSACHUSETTS,USA,4,DEPT OF THE NAVY,2012,"DEPUY MITEK, INC."
DOD,605000008,ALABAMA,USA,5,DEPT OF THE ARMY,2012,THE BOEING COMPANY
DOD,605000008,ARIZONA,USA,6,DEFENSE LOGISTICS AGENCY,2011,"BOEING COMPANY, THE"
DOD,605000008,ARIZONA,USA,6,DEFENSE LOGISTICS AGENCY,2011,"BOEING COMPANY, THE"
DOD,605000008,ARIZONA,USA,6,DEFENSE LOGISTICS AGENCY,2011,"BOEING COMPANY, THE"
DOD,605000008,ARIZONA,USA,6,DEFENSE LOGISTICS AGENCY,2011,"BOEING COMPANY, THE"
DOD,605000008,ARIZONA,USA,6,DEFENSE LOGISTICS AGENCY,2011,"BOEING COMPANY, THE"
DOD,605000008,CALIFORNIA,USA,30,DEPT OF THE NAVY,2011,"BOEING COMPANY, THE"
DOD,605000008,CALIFORNIA,USA,46,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),2011,"BOEING COMPANY, THE"
DOD,605000008,CALIFORNIA,USA,46,DEPT OF THE AIR FORCE,2011,"BOEING COMPANY, THE"
DOD,605000008,MISSOURI,USA,1,DEFENSE LOGISTICS AGENCY,2011,"BOEING COMPANY, THE"
DOD,605000008,MISSOURI,USA,1,DEFENSE LOGISTICS AGENCY,2011,"BOEING COMPANY, THE"
DOD,605000008,MISSOURI,USA,1,DEFENSE LOGISTICS AGENCY,2011,"BOEING COMPANY, THE"
DOD,605000008,PENNSYLVANIA,USA,1,DEPT OF THE ARMY,2012,THE BOEING COMPANY
DOD,600000000,CALIFORNIA,USA,37,DEFENSE LOGISTICS AGENCY,2011,"BOEING COMPANY, THE"
DOD,560900014,VIRGINIA,USA,3,DEPT OF THE NAVY,2012,"MAERSK LINE, LIMITED"
DOD,560900014,VIRGINIA,USA,3,DEPT OF THE NAVY,2012,"MAERSK LINE, LIMITED"
DOD,558000000,CALIFORNIA,USA,23,DEFENSE LOGISTICS AGENCY,2012,KIDDE TECHNOLOGIES INC
DOD,558000000,NORTH CAROLINA,USA,3,DEFENSE LOGISTICS AGENCY,2011,KIDDE TECHNOLOGIES INC
DOD,555000013,WASHINGTON,USA,9,DEPT OF THE NAVY,2011,THE BOEING COMPANY
DOD,552900000,ILLINOIS,USA,3,DEPT OF THE NAVY,2011,"CARRIER RENTAL SYSTEMS, INC."
DOD,547999990,CONNECTICUT,USA,1,DEFENSE LOGISTICS AGENCY,2011,HAMILTON SUNDSTRAND CORPORATION
DOD,547999990,CONNECTICUT,USA,1,DEFENSE LOGISTICS AGENCY,2011,HAMILTON SUNDSTRAND CORPORATION
DOD,499999990,NEW YORK,USA,26,DEPT OF THE AIR FORCE,2011,"ORTHO-CLINICAL DIAGNOSTICS, INC."
DOD,488526930,OHIO,USA,14,DEFENSE LOGISTICS AGENCY,2012,"SAINT-GOBAIN CERAMICS&PLASTICS, INC."
DOD,449999995,,DENMARK,,DEFENSE LOGISTICS AGENCY,2011,ARLA FOODS A.M.B.A
DOD,449999995,,GERMANY,,DEFENSE COMMISSARY AGENCY  (DECA),2011,HERMANN ARMBRUSTER GMBH & CO. BACKWAREN
DOD,449999995,,PORTUGAL,,DEFENSE COMMISSARY AGENCY  (DECA),2011,"EMATER - EMPRESA ABASTECEDORA DE MERCEARIAS TERCEIRENSE, S.A."
DOD,448999997,NEW YORK,USA,22,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),2012,LOCKHEED MARTIN CORPORATION
DOD,443900000,PENNSYLVANIA,USA,10,DEPT OF THE NAVY,2011,LOCKHEED MARTIN CORPORATION
DOD,432599982,TEXAS,USA,12,DEPT OF THE NAVY,2012,LOCKHEED MARTIN CORPORATION
DOD,427000013,GEORGIA,USA,11,DEPT OF THE AIR FORCE,2011,LOCKHEED MARTIN CORPORATION
DOD,418999992,CALIFORNIA,USA,25,DEPT OF THE AIR FORCE,2011,LOCKHEED MARTIN CORPORATION
DOD,418999992,CALIFORNIA,USA,25,DEPT OF THE AIR FORCE,2011,LOCKHEED MARTIN CORPORATION
DOD,418999992,COLORADO,USA,,MISSILE DEFENSE AGENCY (MDA),2011,LOCKHEED MARTIN CORPORATION
DOD,418999992,KENTUCKY,USA,6,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),2011,LOCKHEED MARTIN CORPORATION
DOD,418999992,KENTUCKY,USA,6,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),2011,LOCKHEED MARTIN CORPORATION
DOD,418999992,KENTUCKY,USA,6,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),2011,LOCKHEED MARTIN CORPORATION
DOD,418999992,KENTUCKY,USA,6,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),2011,LOCKHEED MARTIN CORPORATION
DOD,418999992,NEW YORK,USA,22,DEPT OF THE AIR FORCE,2012,"LOCKHEED MARTIN INTEGRATED SYSTEMS, INC."
DOD,418999992,NEW YORK,USA,22,DEPT OF THE AIR FORCE,2012,"LOCKHEED MARTIN INTEGRATED SYSTEMS, INC."
DOD,418999992,VIRGINIA,USA,2,DEPT OF THE NAVY,2011,"LOCKHEED MARTIN INTEGRATED SYSTEMS, INC."
DOD,418999992,VIRGINIA,USA,8,DEPT OF THE ARMY,2011,"LOCKHEED MARTIN INTEGRATED SYSTEMS, INC"
DOD,418999992,VIRGINIA,USA,8,DEPT OF THE ARMY,2011,"LOCKHEED MARTIN INTEGRATED SYSTEMS, INC"
DOD,414040000,NEW YORK,USA,25,DEPT OF THE NAVY,2012,LOCKHEED MARTIN CORPORATION
DOD,395650000,CALIFORNIA,USA,14,DEPT OF THE ARMY,2012,"SAVI TECHNOLOGY, INC."
DOD,389279990,VIRGINIA,USA,8,DEPT OF THE NAVY,2012,SPRINT COMMUNICATIONS COMPANY L.P.
DOD,372200000,MICHIGAN,USA,3,DEFENSE LOGISTICS AGENCY,2012,EATON CORPORATION
DOD,359999980,FLORIDA,USA,8,DEFENSE LOGISTICS AGENCY,2011,"SYSCO CENTRAL FLORIDA, INC."
