"shortZip","state","democratContribution","republicanContribution"
"10023","NY",1549539.37,349904.46
"10024","NY",1571326.22,312283.53
"77024","TX",193905.75,1520651.26
"10021","NY",1111313.77,535039.12
"10128","NY",1165688.27,462482.5
"10011","NY",1447425.19,157700
"20016","DC",1209835.03,347011.12
"20008","DC",1207657.72,227956.92
"10028","NY",970781.88,445773.95
"10022","NY",855102.09,545589.77
"20815","MD",1158960.72,218481
"90049","CA",958147.6,413950.76
"20007","DC",975874.51,337577.58
"90210","CA",811670.73,484823.37
"10065","NY",685870.3,562899.83
"10025","NY",1034034.58,84372.2
"33480","FL",335022.64,756935.64
"10019","NY",649834.89,404401.02
"22101","VA",503989.12,547997.67
"11201","NY",943678.8,91660.67
"20854","MD",760696.5,232532.22
"77019","TX",221290.75,764078.5
"10003","NY",871333.12,105845.68
"75205","TX",179844.07,789570.41
"20009","DC",889314.07,79848.78
"90272","CA",651655.39,301390.76
"20817","MD",733428.81,199285.19
"75225","TX",163901.12,729623.31
"10013","NY",728120.48,163179.32
"10075","NY",613162.38,260451.08
"94301","CA",720112.91,153433
"77056","TX",122985.63,735319.33
"60614","IL",657112.21,183683.45
"60611","IL",532173.99,304464.13
"10014","NY",711165.28,74110.68
"90024","CA",556601.88,222982.33
"94114","CA",725370.91,33280.71
"94025","CA",592433.12,144846
"06830","CT",307805.13,427965
"90069","CA",625405.11,90883.51
"94010","CA",543418.6,143788.76
"90402","CA",557482.48,129212.54
"92660","CA",151566.46,533834.06
"90067","CA",421386.62,257687.31
"33156","FL",215575.72,463383.45
"94115","CA",541145.99,133115.6
"22207","VA",411883.27,261207.75
"06831","CT",227125.52,440626.75
"02138","MA",631001.82,34398.55
"94611","CA",581299.04,75609.04
"20015","DC",592078.86,64771.68
"94118","CA",543414.25,112919.69
"77005","TX",302331.27,346037.08
"78746","TX",273896.6,370892.28
"94027","CA",457084.49,186907.53
"33139","FL",389894.51,253836.07
"94062","CA",425876.35,211912.68
"10583","NY",439885.5,182357.6
"10010","NY",498045.49,114397.29
"22314","VA",308490.09,299235.06
"02116","MA",491668.59,102461
"94110","CA",580745.88,6901.6
"10012","NY",503134.26,81596.6
"06840","CT",185734.91,396646.79
"94022","CA",459401.24,121953
"92037","CA",351092.42,224572.07
"90046","CA",528032.22,35105.88
"77027","TX",131886.46,429296.71
"22102","VA",311397.24,249767.3
"30327","GA",243673.93,314662.12
"20816","MD",462880.6,92889
"75230","TX",156223.96,399491.33
"20003","DC",411251.26,141647.69
"20814","MD",475915.8,76776.68
"90025","CA",343959.62,203439.29
"20001","DC",459132.18,87651.87
"10016","NY",422509.56,124220.66
"11215","NY",519585.15,19318.04
"33134","FL",216593.11,307605.36
"33133","FL",287761.53,232586.12
"33143","FL",139066.36,380607
"90212","CA",356184.37,163296.53
"60093","IL",255207.89,263514.75
"94920","CA",437071.03,79298.54
"08540","NJ",320514.86,182015
"10017","NY",288302.78,212666.5
"06880","CT",329229.93,164687.05
"78703","TX",279745.69,210058.4
"37205","TN",242259.87,245673.6
"94028","CA",378829.07,108188.5
"94123","CA",378355.88,102698.02
"33140","FL",309043.49,172006.95
"19103","PA",408184.25,70915.64
"60610","IL",339953.38,138611.6
"94109","CA",416626.47,58625.16
"75201","TX",142722.85,327099.73
"75219","TX",218922.77,240332.11
"90064","CA",391409.15,62145
"20002","DC",351369.42,96382.08
"85253","AZ",109624.44,333651.66
"37215","TN",221403.43,218899.77
"94117","CA",410770.02,21619.6
"98112","WA",362277.53,63225
"90077","CA",267474.83,154114.34
"90266","CA",239345.58,180951.35
"94107","CA",391669.75,25644.55
"90265","CA",243322.04,173349
"94941","CA",363167.92,53465.36
"90004","CA",357671.28,50908.62
"10001","NY",342098.81,55370.18
"91436","CA",314238.05,80913.25
"94705","CA",373225.44,20959.33
"78209","TX",125184.47,267223.12
"33037","FL",36263.34,355501.74
